Environmental Impact,Unit,Minimum Value,Maximum Value,Average Value
Climate Change, kg CO? eq,0.042,0.685,0.3635
Ozone Depletion, kg CFC-11 eq,0.008,461,230.504
Human Toxicity (Cancer),CTUh ,7.04E+05,9.19E+05,811500
Human Toxicity (Non-Cancer),CTUh ,1.53E+05,1.66E+05,159500
Particulate Matter,Disease incidences,7.98E+05,7.98E+05,798000
Ionizing Radiation,kBg U235 eq,1.22E-03,1.01E+00,0.50561
Photochemical Ozone Formation,kg NMVOC eq,2.30E-03,1.84E+01,9.20115
Acidification,mol H+ eq,3.50E-01,3.50E-01,0.35
Eutrophication (Marine),kg N eq,1.94,12.8,7.37
Eutrophication (Freshwater),kg P eq,2.15E-01,1.96,1.0875
Water Use,m³ ,2.15E-01,2.15E-01,0.215
Resource Use (Minerals/Metals),kg Sb eq,1.65E+00,1.92E+04,9600.825
